Account Name,Billing Address Line 1,Billing Zip/Postal Code,SIC Industry,SIC Code: SIC Code
KONE CRANE CANADA INC,* 1875 CH SAINT-FRANÇOIS,H9P1K3,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
TRANE QUEBEC,DIV WABCO STANDARD TRANE CO 3535 BOUL PITFIELD,H4S1H3,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
CITÉ DE DORVAL,DORVAL/L'ILE DORVAL 60 AV MARTIN,H9S3R4,MUNICIPAL GOVERNMENT & AGENCIES,MMGA
IKEA CANADA LTD PARTNERSHIP,IKEA MONTREAL STO039 9191 BOUL CAVENDISH,H4T1M8,RETAIL/DIY (5200-5999 SERIES),RRD
INGE AUTOMATION INC,4100 BOUL MATTE,J4Y2Z2,PANEL BUILDERS (3400 SERIES),IPP
ROTALEC INC,900 RUE MCCAFFREY,H4T2C7,.,RWC
BECTROL INC,4550 AV BEAUDRY,J2S8A5,.,RWC
ROGERS COMMUNICATIONS INC,P.O.BOX 765 STATION K,M4P2H5,PULPMILLS (2600 SERIES),IPM
C LATENDRESSE INC,5 RUE DES ARTISANS,J5Z1B3,SMALL CONTRACTOR (1733 SERIES),CSC
TRICOT LIESSE 1983 INC,2125 RUE LILY-SIMON,H4B3A1,BUSINESS AND MAINTENANCE (7300 SERIES),MMB
PLASTIQUES PVC MONTREAL LTEE,6-5055 RUE COURVAL,H4T1X6,PETRO CHEMICALS (2800 SERIES),IPC
ADFAST MANUFACTURING INC,2685 RUE DIAB,H4S1E7,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
BGR CHEMICAL PRODUCTS INC,600 AV DELMAR,H9R4A8,PETRO CHEMICALS (2800 SERIES),IPC
SURETE DU QUEBEC,SSEI LOCAL 241 1701 PARTHENAIS,H2K3S7,PROVINCIAL GOVERNMENT & AGENCIES,MPGA
PUROLATOR INC,A/S DORIS ROCH 5000 BOUL DE LA COTE-VERTU,H4S2E7,UTILITIES (4811 & 491 SERIES),MUT
HYDRO QUEBEC,CTRALE LA CITIERE * 2525 CH LAFRENIERE,J5R3X8,UTILITIES (4811 & 491 SERIES),MUT
MECA CONTROLE,DIV DE ENT JF MAROIS INC 8028 BOUL METROPOLITAIN E,H1K1A1,PANEL BUILDERS (3400 SERIES),IPP
ENVITECH AUTOMATION 2009 INC,5710 BOUL THIMENS,H4R2K9,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
EMBALLAGE WINPAK HEAT SEAL INC,21919 CH DUMBERRY,J7V8P7,PULPMILLS (2600 SERIES),IPM
REGIE DE L'EAU DE L'ILE PERROT,1244 RUE PERROT,J7V7P2,UTILITIES (4811 & 491 SERIES),MUT
CLUB DE GOLF BEACONSFIELD,49 AVENUE GOLF,H9S4N6,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
ADT CANADA INC,8481 BOUL LANGELIER,H1P2C3,ALARM & SECURITY INSTALLERS 17310001,CAS
EPM MECANIC,2982897 CANADA INC 2425 RUE MICHELIN,H7L5B9,PLUMBING & MECHANICAL CONTRACTORS,CCH
CITERNES BEDARD INC,5785 PLACE TURCOT,H4C1V9,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
PLASTIQUES SILGAN CDA INC,1795 32E AV,H8T3J1,PULPMILLS (2600 SERIES),IPM
ATLAS EXTINCTEURS INC,8950 RUE DESCHAMBAULT,H1R2C5,UTILITIES (4811 & 491 SERIES),MUT
BELL CANADA,MARC-YVAN COTE A130563 CP 11673 SUCC CENTRE VILLE,H3C6E8,TELEPHONE,MTP
MAPEI INC,2900 AV FRANCIS-HUGHES,H7L3J5,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
ADVANCED DYNAMICS CORP LTD *,615 RUE SAGARD,J3V6C1,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
GENERAL DYNAMICS (PRODUITS DE,DEFENSE&SYST TACTIQUES CDA INC 5 MONTEE DES ARSENAUX,J5Z2P4,ELECTRICAL ENGINEERS,IEE
FEMATICS CANADA INC,1100 RUE SAINT AMOUR,H4S1J2,ALARM & SECURITY INSTALLERS 17310001,CAS
GD PDST CANADA VALLEYFIELD INC,55 RUE MASSON,J6S4V9,PETRO CHEMICALS (2800 SERIES),IPC
B B P ENERGIE LTEE,6781 RUE BOMBARDIER,H1P2W2,ALARM & SECURITY INSTALLERS 17310001,CAS
AIR LIQUIDE CANADA INC,1700-1250 BOUL RENE-LEVESQUE O,H3B5E6,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
KRONOS CANADA INC,* 3390 RTE MARIE-VICTORIN,J3X1T4,PETRO CHEMICALS (2800 SERIES),IPC
COLLEGE DAWSON,3040 RUE SHERBROOKE O,H3Z1A4,SCHOOLS/UNIVERSITIES/CHURCHES 8200-8922,MSU
INVENSYS SYSTEM CANADA INC,4 RUE LAKE,H9B3H9,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
GUILLEVIN INT'L INC (V3810),10301 RENAUDE LAPOINTE,H1J2T4,.,RWC
TOROMONT INDUSTRIES LTEE,5001 TRANSCANADIENNE,H9R1B8,"OEM, OTHER EQUIPMENT MANUFACT(3400-3500)",ICM
IBM CANADA LTEE,23 BOUL DE L'AEROPORT,J2L1A3,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
VILLE DE LASALLE,55 AVENUE DUPRAS,H8R4A8,MUNICIPAL GOVERNMENT & AGENCIES,MMGA
CEGEP MONTMORENCY,ATTN SERVICE FINANCIERS 475 BOUL DE L'AVENIR,H7N5H9,SCHOOLS/UNIVERSITIES/CHURCHES 8200-8922,MSU
VILLE DE COTE ST LUC,5801 BOUL CAVENDISH,H4W3C3,MUNICIPAL GOVERNMENT & AGENCIES,MMGA
AXIALL CANADA INC,31 RUE DE L INDUSTRIE,J6N3C3,OTHER INDUSTRIAL PLANTS (3200 & 3300),IIP
OSRAM SYLVANIA LIMITEE,* 4935 RUE LEVY,L5S1S4,.,RWS
LES INDUSTRIES UNIGEAR INC,20375 AVE CLARK GRAHAM,H9X3T5,TRANSP AND DISTRIBUTION 4011-4619 SERIES,ITD
